Year,Issue_Number,ID,Title
2000,5,2,国务院、中央军委关于印发《中国人民解放军士官退出现役安置暂行办法》的通 知 中国人民解放军士官退出现役安置暂行办法
2000,5,3,国务院办公厅转发建设部等部门关于工程勘察设计单位体制改革若干意见的通知 关于工程勘察设计单位体制改革的若干意见
2000,5,4,国务院办公厅关于进一步做好治理开发农村“四荒”资源工作的通知
2000,5,5,中华人民共和国和约旦哈希姆王国联合公报
2000,5,6,中美就美国轰炸中国驻南使馆的赔偿问题达成协议
2000,5,7,关于印发《关于新时期加强高等学校教师队伍建设的意见》的通知 …… 教育部 关于新时期加强高等学校教师队伍建设的意见
2000,5,8,关于进一步加强中小学教育技术装备工作的意见 ………………………… 教育部
2000,5,9,关于印发《武器装备科研生产许可证管理暂行办法》的通知 ……… 国防科工委 武器装备科研生产许可证管理暂行办法
2000,5,10,关于发布《国内交通卫生检疫条例实施方案》的通知 ………… 卫生部等四部门 国内交通卫生检疫条例实施方案
2000,5,11,中华人民共和国海关总署令（第76号） 中华人民共和国海关关于违法内销或者转让加工贸易保税货物处罚办法
2000,5,12,中华人民共和国海关总署令（第78号） 中华人民共和国海关实施《行政复议法》办法
2000,5,13,国家药品监督管理局令（第13号） 药品临床试验管理规范
2000,5,14,国务院关于同意陕西省撤销榆林地区设立地级榆林市的批复
2000,5,15,国务院关于同意青海省调整西宁市行政区划的批复
2000,5,16,关于浙江省嘉兴市郊区更名为秀洲区的批复 ……………………………… 民政部
2000,5,17,关于辽宁省抚顺市露天区更名为东洲区的批复 …………………………… 民政部
2000,6,1,国务院关于纠正地方自行制定税收先征后返政策的通知
2000,6,2,国务院关于更改新华通讯社香港分社、澳门分社名称问题的通知
2000,6,3,国务院办公厅关于成立国家信息化工作领导小组的通知
2000,6,4,国务院办公厅转发科技部等部门关于建立风险投资机制若干意见的通知 关于建立风险投资机制的若干意见
2000,6,5,中华人民共和国和斐济群岛共和国新闻公报
2000,6,6,中华人民共和国政府与捷克共和国政府联合公报
2000,6,7,中华人民共和国国家经济贸易委员会令（第15号）  　　中华人民共和国国家经济贸易委员会产业损害裁定听证规则
2000,6,8,关于积极推进高中阶段教育事业发展的若干意见 ………………………… 教育部
2000,6,9,关于加强中小学心理健康教育的若干意见 …………………………………… 教育部
2000,6,10,中华人民共和国国防科学技术工业委员会令（第2号） 民用爆破器材生产流通管理暂行规定
2000,6,11,中华人民共和国建设部令（第71号） 建筑工程施工许可管理办法
2000,6,12,中华人民共和国建设部令（第72号） 城市房屋白蚁防治管理规定
2000,6,13,国家税务总局关于印发《储蓄存款利息所得个人所得税征收管理办法》的通知 储蓄存款利息所得个人所得税征收管理办法
2000,6,14,国家税务总局关于储蓄存款利息所得征收个人所得税若干业务问题的通知
2000,6,15,国家环境保护总局令（第8号） 近岸海域环境功能区管理办法
2000,6,16,关于印发《统计上岗资格证书颁发实施办法》的通知 …… 国家统计局、教育部 统计上岗资格证书颁发实施办法
2000,6,17,中国地震局令（第3号） 地震行政执法规定
2000,6,18,中国地震局令（第4号） 地震行政复议规定 《中华人民共和国行政复议法》有关条文
2000,6,19,关于发布《境内企业申请到香港创业板上市审批与监管指引》的通知 ……………………………………………………………………… 中国证券监督管理委员会  　　境内企业申请到香港创业板上市审批与监管指引
2000,6,20,关于申请境外期货业务有关问题的通知 …… 中国证券监督管理委员会等四部门
2000,6,21,关于广东省开平市人民政府驻地迁移的批复 …………………………………… 民政部
2000,6,22,关于内蒙古自治区包头市郊区更名为九原区、石拐矿区更名为石拐区的批复  　………………………………………………………………………………………………… 民政部
2000,6,23,关于新疆维吾尔自治区乌鲁木齐市南山矿区更名为南泉区的批复………… 民政部
2000,6,24,关于同意西藏自治区撤销隆格尔等五县的批复…………………………………… 民政部
2000,7,1,全国人民代表大会常务委员会关于批准《中华人民共和国、俄罗斯联邦和哈萨克 斯坦共和国关于确定三国国界交界点的协定》的决定
2000,7,2,国务院办公厅转发教育部等部门关于进一步加快高等学校后勤社会化改革意见的 通知 关于进一步加快高等学校后勤社会化改革的意见
2000,7,3,国务院办公厅转发交通部等部门关于继续做好公路养路费等交通规费征收工作意 见的通知 关于继续做好公路养路费等交通规费征收工作的意见
